name,description,Duration in minutes,category
"2 contre 2 - suivre l'adversaire, sans relais de marquage","Positionnement
  Quatre joueurs sont placés sur le terrain selon le dessin. Les deux Bleus A et B sont défenseurs, les deux Rouges attaquants. Au départ, le ballon se trouve chez C.


  Déroulement
  C ouvre par une passe à D qui commence directement à dribbler en avant. Dès que C se prépare à sa passe, le défenseur B va vers D pour le harceler. Quand B quitte sa position défensive pour harceler l'adversaire, A avance pour prendre la position de celui-ci.
Après sa passe à D, C dédouble son partenaire D. D se dribble diagonalement à gauche dans une position centrale, B ne le quitte pas. A croise dans le dos du partenaire B pour aller vers l'attaquant C. L'exercice est fini une fois que les joueurs sont arrivés dans la surface de rép.


  Notes
  - Contrairement à l'exercice ""2 contre 2 - retrait défensif avec relais"", les défenseurs suivent ici le changement de positions que font les attaquants, comme le scénario est déjà situé dans une zone dangereurse devant le but. Un relais pourrait donc permettre aux attaquants de tirer au but.
- C'est une simulation où il n'y a pas de duels. L'exercice sert à bien apprendre les courses nécessaires.
- Pratiquez cet exercice à un grand nombre de reprises (pour une automatisation des séquencages).
- Mettez l'accent sur des passes appuyées et précises.
- Le signe pour le harcelement du destinataire de passe est le moment où le partenaire de celui-ci se prépare à sa passe.
- Les écarts latéraux entre les joueurs sont de 7-12 m. Les deux paires sont placés à une distance de 15 m entre eux.


  Dimensions du terrain
  20x20 m.",20,
Jeu de passes en deux carrés V,"Positionnement
  Prenez 8 cônes et placez un petit carré et un grand carré autour de ce premier. Chaque cône est occupé par un joueur, les cônes de départ par 2 joueurs (= 10 joueurs au total).
(1) Changement de position


  Déroulement
  L'ouverture se fait par une passe horizentale des deux joueurs de départ vers leur voisin de cône (1). S'ensuivent deux passes diagonales. La première passe se fait du joueur du carré exterieur au joueur le plus proche de lui dans le carré interieur, la prochaine passe de ce dernier au prochain joueur du carre exterieur (2+3). Après chaque passe, les joueurs placés en largeur échangent leurs positions pour créer un changement permanent et et un haut rythme de mouvements.
Variante:
Au bout de quelques minutes, les joueurs peuvent échanger leurs positions de l'exterieur à l'interieur et vice-versa.




  Notes
  - Notez que c'est un exercice de passes à forte intensité de courses !
- Ne placez pas le pied d'appui trop éloigné du ballon et faites attention à ne pas se pencher en position de dos !
- Un bon timing de passes et de départs est crucial.
- Souvent, les joueurs courent plus vite qu'ils ne passent.
- Exigez des passes appuyées et ciblées de vos joueurs !




  Marges des cônes
  Cônes du carré exterieur: 20m.
Cônes du carré interieur: 10m.",,
situation: desequilibre / finir: garder un temps d'avance pour finir (fixer et donner),"Positionnement
  But: Marquer
Objectif: Fixer et donner en supériorité numérique
Joueurs: 2 c 1
Terrain: 30 X 20m


  Déroulement
  Consignes:
Jeu au sol obligatoire
Obligation de passer par une porte puis transmettre au joueur cible.
Si le défenseur récupère stop-ball  derrière la ligne de départ.


  Notes
  Variables:
Reculer la ligne médiane.
Resserrer les 2 portes
Principe d'action:
Créer de l'incertitude
Créer et utiliser les espaces",30,
"Echauffement alternatif - course en ""chaînes""","Positionnement
  Course en ""chaînes"" dans la formation du 4-4-2. Les joueurs sont liés l'un à l'autre par des cordes (à une distance de 7-15 m). Installez sur la ligne de touche 3 zones à l'aide des cônes de différentes couleurs (voir le dessin):
Cônes rouges = zone du pressing défensif
Cônes bleus = zone du pressing de milieu
Cônes jaunes = zone du pressing offensif
Faites répartir 10 ballons (ou bien des cônes) sur le terrain comme indiqué sur le dessin.


  Déroulement
  Les ballons/cônes seront numérotés. L'entraineur crie un numéro et toute l'équipe se déplace vers le ballon/cône correspondant. Dès que les joueurs arrivent à la position finale, ils ne bougent plus et c'est à l'entraineur de corriger toutes les fautes. L'entraineur peut aussi nommer toute une zone (p. ex. du pressing offensif). Dans ce cas, l'équipe se déplace en groupe vers la zone définie.


  Dimensions du terrain
  Terrain intégral",10,
Exercice du mois de mars: Jeu de passes avec dédoublement I,"Positionnement
  Placez trois 6 cônes comme indiqué. Chaque cône est occupé par un joueur. Les deux joueurs placés aux cônes centraux ont un ballon chacun.


  Déroulement
  Formez trois groupes A, B et C:
Joueur C fait une passe à B, qui transfère le ballon à A et dédouble ce même joueur en direction du cône central. A fait ensuite une passe à C qui transfère directement dans la foulée de B. A prend la position initiale de B. Puis, joueur C passe à la position A et joueur B dribble vers la position D.
Les groupes D, E et F empruntent les mêmes courses et lignes de passes. C'est-à-dire que F dribble, après sa course, vers la position C. Joueur D passe à la position de E et joueur E à la position de F.


  Notes
  Commencez par étudier cet exercice doucement avant d'accélérer le rythme. Les joueurs attendant le ballon sont en mouvement permanent, ils font un petit saut dynamique soit de côté, soit en arrière avant d'aller vers le ballon. L'exercice, pratiqué rapidement, possède déjà un fort coefficient de courses rien qu'avec 6 joueurs.
- La pression par le temps va forcer un jeu de passes direct, réel et exigeant.
- Les joueurs doivent exiger le ballon du serveur respectif par des commandos verbaux.
- Un bon timing de passes et de démarrages est crucial.
- Souvent, les joueurs courent plus vite qu'ils ne passent.
- N'oubliez pas de faire attention à vos courses !
- Exigez des passes appuyées et ciblées de vos joueurs !
- La précision prime sur la vitesse des passes.
- Il faut maintenir un haut niveau de concentration.




  Dimensions du terrain
  12 x 18 m.


  Marges des cônes
  Distance des cônes extérieurs: 12 m.
Distance des cônes centraux: 6 m entre eux et 6 m de la ligne de touche.",20,
"Jeu par la zone extérieure, 9 vs. 9","Positionnement
  18 joueurs de champ
2 gardiens
2/3 d'un grand terrain


  Déroulement
  Sur les 2/3 du terrain évoluent deux équipes dans un 9 vs. 9 sur deux grands buts avec gardien. Le terrain est divisé en 3 zones verticales. L'équipe en possession du ballon a la tâche de construire l'attaque par une zone extérieure, d'où un ailier fait un centre ou une passe en retrait dans la surface de rép. que l'un des coéquipiers doit transformer.


  Notes
  - La zone extérieure ne peut être occupée que par un seul défenseur, mais par autant d'attaquants que vous voulez
- L'équipe attaquante doit soutenir son attaque par un surnombre dans la zone extérieure
- Pour bien profiter du surnombre, l'équipe attaquante fait plusieurs une-deux jusqu'à ce que l'ailier arrive à la ligne de but, d'óù il fait un centre/une passe dans la surface de rép.


  Dimensions du terrain
  2/3 d'un grand terrain",20,
"Partie principale 2, Type de jeu III - 4 défenseurs vs. 7 attaquants avec 1 grand et 3 petits buts","Positionnement
  Placez trois buts de cônes sur la ligne médiane. Formez deux équipes. Une équipe attaquante à 7 joueurs (jaunes) et une défense à 4 joueurs (bleus) qui commence en ligne de base à 4. L'équipe jaune se positionne comme indiqué sur le dessin: un relanceur central, deux milieux centraux, deux ailiers et deux attaquants. Le relanceur a le ballon. Un gardien est dans le but.


  Déroulement
  L'équipe jaune essaye de tirer au grand but en appliquant différents enchainements et variantes offensives. Les Bleus défendent le grand but et peuvent, s'ils sont en possession du ballon, aussi inscire des buts. Pour ce faire, ils s'orientent en au max. 5 (ou 10) touches permises vers les buts de cônes. En défense, il faut bien se déplacer et empêcher des options de tirs/de passes. Si un défenseur va vers le ballon, ses deux voisins doivent se replier pour former un triangle.
Si les Jaunes marquent ou le ballon fait touche, le jeu redémarre à la ligne médiane.
Ouverture par des passes ""zigzags"" avec le moins de touches possibles. Aux couloirs, il y aura des duels 1 contre 1 et du dédoublement. Les ailiers sont placés aux couloirs, après une passe, ils dribblent pourtant vers l'intérieur ou un défenseur les suit. Faites toujours des passes diagonales pour renverser le jeu et pour faire bouger la défense. Les avant-centres vont constamment vers les passeurs, changent vite de direction et croisent.
1 - passe diagonale
2 - passes ""zizag""
3 - dribble 1 contre 1
4 - changement de direction rapide
5 - croisement
6 - dédoublement


  Notes
  - Par des passes en profoneur aux avant-centres, la défense est obligée de se déplacer en avant. En transférant le ballon, l'attaque contraint la défense aussi de se déplacer vers le côté. Ainsi, l'attaque se crée des espaces en profondeur.
- Les passeurs dans le champ ne devraient pas trop se rapprocher des attaquants, toujours rester à un écart de 20-25 m pour avoir le jeu devant eux. Ainsi, ils peuvent optimalement distribuer des ballons.
- Il est important d'être en mouvement permanent, de se parler et de faire des passes rapides et précises.
- La défense ne doit jamais oublier l'échelonnement de profondeur et ne doit pas se faire bouger trop en avant.


  Dimensions du terrain
  Moitié du terrain


  Marges des cônes
  marges entre les buts de cônes: 3m.",30,
jeu: conserver / progresser: enchainement contrôle passe courte,"Positionnement
  But: Trouver les joueurs cibles en aller-retour
Objectif: Entraînement technique au jeu court sous forme évolutive.
Équipe: 5 c 5
Terrain: 25m X 25m




  Déroulement
  Consignes
Un ballon par équipe
Interdit de lever et d’arrêter le ballon.
Le ballon doit circuler de l’intérieur vers l’extérieur.
Le joueur qui transmet le ballon au joueur cible prend la place de celui-ci.
-Les 2 joueurs cibles joints = 1 pt




  Notes
  Variables
*2 touches dans le terrain, 1 touche pour les joueurs cibles.
*Définir un minimum d’aller-retour en un certain temps
* Obliger un échange à l’intérieur du terrain avant de trouver le joueur cible.
* Un ballon pour les 2 équipes (avec opposition)",25,
Echauffement Passe et suit 5,"Positionnement
  2 joueurs se placent aux plots A et C avec 1 ballon.


Les 2 autres se placent aux plots B et D sans ballon.




  Déroulement
  Au signal, les joueurs 1 et 3 conduisent le ballon jusque dans le carré central.


Le joueur 1 fait un 1-2 de l'intérieur du pied droit avec le joueur 2 et va prendre sa place.


Le joueur 3 fait un 1-2 de l'intérieur du pied droit avec le joueur 4 et va prendre sa place.


  Dimensions du terrain
  Carré central : 4 mètres de coté.",35,
"Jeu de passes avec tir au but, variante IV","Positionnement
  Placez trois cônes comme indiqué. Les cônes de départ (avec ballon) sont occupés par 2/plusieurs joueurs, les cônes centraux par 2 joueurs et le cône proche du but par 1 joueur. Le gardien est dans le but.


  Déroulement
  Le groupe gauche et droit commencent consécutivement à exécuter les variantes de passes (I + II, avec tir au but) étudiées préalablement. Le passeur choisit la variante à appliquer. C'est pourtant le gardien qui ouvre la combinaison par un dégagement de la main.
Variante I:
A (1) fait une passe à C. En même temps, B se déplace de 2, 3 mètres vers l'extérieur pour y transférer le ballon joué par C (2) directement à D (3). D essaye de marquer. A court vers le cône central, B prend la position de D, C reste au cône central. D prend la ""queue"" au cône de départ, etc.
Variante II:
Z ouvre par une à X (1) dont la première course s'effectue en direction de Z. Puis, X fait rebondir le ballon dans la foulée de Z (2) et se démarque aussitôt. Z passe directement à Y (3) qui transfère le ballon dans la foulée de X (4). Ce dernier fait une passe à W (5). W essaye de marquer. Après sa passe, Z court vers le cône central, où Y n'a pas bougé. Au bout de ses trois courses, X se positionne au cône en bas de joueur W. Celui-ci prend la queue au cône de départ,etc.
Alternatives:
- Mode de compétition : les deux équipes comptent leurs buts inscrits.
- Installez et utilisez un deuxième but.


  Notes
  L'exercice se veut de développer un jeu de passes variable, rapide et central avec tir au but à sa fin.
- L'objectif est l'amélioration de la maitrise du ballon et du jeu de combinaison.
- Exigez des passes appuyées et ciblées de vos joueurs !
- Des passes précises priment sur la vitesse des passes.
- Il faut toujours maintenir un haut niveau de concentration.
- Les joueurs doivent constamment se parler et s'entraider.
- L'exercice exige constamment de vos joueurs des capacités d'anticipation, de réaction, de vitesse de mouvement et d'action sans et avec ballon
- L'exercice aide à étudier des automatismes, un jeu par redoublement de passes et un jeu de combinaison variable.
- Essayez de marquer !


  Dimensions du terrain
  Moitié du terrain


  Marges des cônes
  12 m.",20,
